,Z
20,3.1244293600000006
25,3.0223992499999994
30,3.0223992499999994
35,3.0223992499999994
40,2.9192601099999997
45,2.9192601099999997
50,3.1244293600000006
55,2.9192601099999997
60,2.709581649999997
65,2.4952436700000007
70,2.709581649999997
75,2.603004760000001
80,2.603004760000001
85,2.603004760000001
90,2.603004760000001
95,2.4952436700000007
100,2.4952436700000007
105,2.38627855
110,2.276089110000001
115,2.4952436700000007
120,2.276089110000001
125,2.05195376
130,2.164654579999997
135,2.05195376
140,2.05195376
145,2.05195376
150,1.9379649200000024
155,1.9379649200000024
160,1.8226658700000016
165,2.276089110000001
170,1.8226658700000016
175,1.7060338799999997
180,1.5880456999999986
185,1.5880456999999986
190,1.5880456999999986
195,1.5880456999999986
200,1.9379649200000024
205,0.9769093500000032
210,1.3479050599999987
215,1.3479050599999987
220,0.9769093500000032
225,1.3479050599999987
230,1.1020467899999993
235,0.7220840100000032
240,1.4686775500000024
245,0.7220840100000032
250,0.9769093500000032
255,0.8502642199999997
260,0.9769093500000032
265,0.5923406200000016
270,1.1020467899999993
275,0.8502642199999997
280,0.5923406200000016
285,0.5923406200000016
290,0.46100528000000196
295,0.46100528000000196
300,0.46100528000000196
305,0.19344012999999904
310,0.19344012999999904
315,0.3280485199999994
320,0.46100528000000196
325,0.19344012999999904
330,-0.650684769999998
335,-0.08085621999999759
340,-0.22060847999999922
345,-0.08085621999999759
350,-0.7977671400000013
360,-0.22060847999999922
365,0.057149129999999104
370,-0.362141010000002
375,0.19344012999999904
380,0.3280485199999994
385,0.057149129999999104
390,0.19344012999999904
395,0.3280485199999994
400,0.19344012999999904
405,0.19344012999999904
410,0.46100528000000196
415,0.7220840100000032
420,0.3280485199999994
425,0.5923406200000016
430,0.3280485199999994
435,0.46100528000000196
440,0.7220840100000032
445,0.3280485199999994
450,0.8502642199999997
455,0.5923406200000016
460,0.8502642199999997
